LibraryLayout	Library_Name	Run	Replicate_Name	Sex	dev_stage	organism_part	RNA	Sample_Name
PAIRED	Female Anal Pad	ERR2196295	Female_Anal_Pad_1	female	Adult	Anal Pad	mRNA	Female_Anal_Pad
PAIRED	Female Anal Pad	ERR2196296	Female_Anal_Pad_2	female	Adult	Anal Pad	mRNA	Female_Anal_Pad
PAIRED	Female Anal Pad	ERR2196297	Female_Anal_Pad_3	female	Adult	Anal Pad	mRNA	Female_Anal_Pad
SINGLE	Female Anal Pad (Mir)	ERR2197857	Female_Anal_Pad_Mir_1	female	Adult	Anal Pad	microRNA	Female_Anal_Pad_Mir
SINGLE	Female Anal Pad (Mir)	ERR2197858	Female_Anal_Pad_Mir_2	female	Adult	Anal Pad	microRNA	Female_Anal_Pad_Mir
SINGLE	Female Anal Pad (Mir)	ERR2197859	Female_Anal_Pad_Mir_3	female	Adult	Anal Pad	microRNA	Female_Anal_Pad_Mir
PAIRED	Female Brain	ERR2196286	Female_Brain_1	female	Adult	Brain	mRNA	Female_Brain
PAIRED	Female Brain	ERR2196287	Female_Brain_2	female	Adult	Brain	mRNA	Female_Brain
PAIRED	Female Brain	ERR2196288	Female_Brain_3	female	Adult	Brain	mRNA	Female_Brain
SINGLE	Female Brain (Mir)	ERR2197851	Female_Brain_Mir_1	female	Adult	Brain	microRNA	Female_Brain_Mir
SINGLE	Female Brain (Mir)	ERR2197852	Female_Brain_Mir_2	female	Adult	Brain	microRNA	Female_Brain_Mir
SINGLE	Female Brain (Mir)	ERR2197853	Female_Brain_Mir_3	female	Adult	Brain	microRNA	Female_Brain_Mir
PAIRED	Female Carcass	ERR2098815	Female_Carcass_1	female	Adult	Carcass	mRNA	Female_Carcass
PAIRED	Female Carcass	ERR2098816	Female_Carcass_2	female	Adult	Carcass	mRNA	Female_Carcass
PAIRED	Female Carcass	ERR2098817	Female_Carcass_3	female	Adult	Carcass	mRNA	Female_Carcass
PAIRED	Female Carcass	ERR2098818	Female_Carcass_4	female	Adult	Carcass	mRNA	Female_Carcass
PAIRED	Female Carcass	ERR2098819	Female_Carcass_5	female	Adult	Carcass	mRNA	Female_Carcass
PAIRED	Female Carcass	ERR2098820	Female_Carcass_6	female	Adult	Carcass	mRNA	Female_Carcass
SINGLE	Female Carcass (Mir)	ERR2112234	Female_Carcass_Mir_1	female	Adult	Carcass	microRNA	Female_Carcass_Mir
SINGLE	Female Carcass (Mir)	ERR2112236	Female_Carcass_Mir_2	female	Adult	Carcass	microRNA	Female_Carcass_Mir
PAIRED	Female Crop	ERR2617868	Female_Crop_1	female	Adult	Crop	mRNA	Female_Crop
PAIRED	Female Crop	ERR2617869	Female_Crop_2	female	Adult	Crop	mRNA	Female_Crop
PAIRED	Female Eye	ERR2617944	Female_Eye_1	female	Adult	Eye	mRNA	Female_Eye
PAIRED	Female Eye	ERR2617945	Female_Eye_2	female	Adult	Eye	mRNA	Female_Eye
PAIRED	Female Eye (Mir)	ERR2744046	Female_Eye_Mir_1	female	Adult	Eye 	microRNA	Female_Eye_Mir
